EG(+)		EG(-)		EG(+)& St(+)		EG(+)& St(-)		EG(-)& St(+)		EG(-)& St(-)	
306	CR	CDS	155307	156452	-	+	447698	-	
308	CR	CDS	156725	157537	-	+	446280	-	
310	CR	CDS	157823	158704	-	-	445182	-	
312	CR	CDS	158715	159581	-	-	444290	-	
314	CR	CDS	159574	160476	-	-	443431	-	
316	CR	CDS	160522	161208	-	-	442483	-	
318	CR	CDS	161558	162547	+	-	440458	-	
320	CR	CDS	162558	164459	+	-	438546	-	
322	CR	CDS	164623	165762	+	-	437243	-	
324	CR	CDS	165924	166130	+	-	436875	-	
326	CR	CDS	166166	166357	+	-	436648	-	
328	CR	CDS	166400	167287	-	-	436605	-	
330	CR	CDS	167287	168519	-	-	435718	-	
332	CR	CDS	168629	169336	-	-	434376	-	
334	CR	ND	169396	170726	-	-	433609	-	
336	CR	CDS	170930	171160	-	-	432075	-	
338	CR	CDS	171416	172144	-	+	431589	-	
340	CR	CDS	172161	173099	-	+	430844	-	
342	CR	CDS	173727	174677	-	+	429278	-	
344	CR	CDS	174863	175033	-	-	428142	-	
346	CR	CDS	175056	175580	-	-	427949	-	
348	CR	CDS	175737	176609	+	-	426396	-	
350	CR	CDS	176718	178088	-	-	426287	-	
352	CR	CDS	178304	178903	-	-	424701	-	
354	CR	CDS	178997	179308	+	+	423697	-	
356	CR	CDS	179599	180942	+	-	422063	-	
358	CR	CDS	180945	182180	+	-	420825	-	
360	CR	CDS	182173	182907	+	-	420098	-	
362	CR	CDS	182907	183533	+	-	419472	-	
364	CR	CDS	183537	184133	+	-	418872	-	
366	CR	CDS	184146	185381	+	-	417624	-	
368	CR	CDS	185525	186565	+	-	416440	-	
370	CR	CDS	186568	186828	+	-	416177	-	
372	CR	CDS	186840	188096	+	+	414909	-	
374	CR	CDS	188140	188874	-	-	414865	-	
376	CR	CDS	188876	189850	-	+	414129	-	
378	CR	CDS	189958	190746	+	-	412259	-	
380	CR	CDS	190826	191308	-	-	412179	-	
382	CR	CDS	191340	192080	-	+	411665	-	
384	CR	CDS	192211	194529	-	-	410794	-	
386	CR	CDS	194557	195411	-	-	408448	-	
388	CR	CDS	195915	196829	+	-	406176	-	
390	CR	CDS	197006	198451	+	-	404554	-	
392	CR	CDS	198638	199465	-	-	404367	-	
394	CR	CDS	199474	200610	-	+	403531	-	
396	CR	CDS	200733	201140	+	-	401865	-	
398	CR	CDS	201358	201627	+	-	401378	-	
400	CR	CDS	201591	202151	+	-	400854	-	
402	CR	CDS	202161	202931	+	-	400074	-	
404	CR	CDS	203291	204640	+	-	398365	-	
406	CR	CDS	204748	205188	-	-	398257	-	
408	CR	CDS	205217	205741	-	+	397788	-	
410	CR	CDS	205838	206620	-	-	397167	-	
412	CR	CDS	206691	207284	+	+	395721	-	
414	CR	CDS	207287	208645	+	+	394360	-	
416	CR	CDS	208672	212007	+	-	390998	-	
418	CR	CDS	212017	213090	+	+	389915	-	
420	CR	CDS	213175	214035	+	-	388970	-	
422	CR	CDS	214053	214820	+	-	388185	-	
424	CR	CDS	214867	215823	+	+	387182	-	
426	CR	CDS	215881	216921	+	-	386084	-	
428	CR	CDS	217030	217380	-	+	385975	-	
430	CR	CDS	217417	218157	-	-	385588	-	
432	CR	CDS	218195	218722	-	-	384810	-	
434	CR	CDS	218767	219015	-	+	384238	-	
436	CR	CDS	219308	220081	+	-	382924	-	
438	CR	CDS	220104	221915	+	-	381090	-	
440	CR	CDS	222200	222742	+	+	380263	-	
442	CR	CDS	222762	223850	+	+	379155	-	
444	CR	CDS	223852	224712	+	+	378293	-	
446	CR	CDS	225814	226539	-	+	377191	-	
448	CR	CDS	226608	227258	+	+	375747	-	
450	CR	CDS	227577	229121	-	-	375428	-	
452	CR	CDS	229603	231642	+	-	371363	-	
454	CR	ND	231874	233393	+	-	369612	-	
456	CR	CDS	233477	234634	+	-	368371	-	
458	CR	CDS	234763	235293	+	-	367712	-	
460	CR	ND	235441	238519	+	-	364486	-	
462	CR	CDS	238674	239303	-	-	364331	-	
464	CR	ND	239516	241313	-	-	363489	-	
466	CR	CDS	239516	240229	-	-	363489	-	
468	CR	CDS	241428	242015	-	-	361577	-	
470	CR	rRNA	242269	242397	-	-	360736	-	
472	CR	rRNA	242637	245539	-	-	360368	-	
474	CR	tRNA	245806	245881	-	-	357199	-	
476	CR	rRNA	246009	247557	-	-	356996	-	
478	CR	CDS	247910	248818	-	+	355095	-	
480	CR	CDS	248948	250414	+	-	352591	-	
482	CR	CDS	250524	251015	+	-	351990	-	
484	CR	CDS	251125	252696	+	+	350309	-	
486	CR	CDS	252758	253660	-	-	350247	-	
488	CR	CDS	253772	254233	+	-	348772	-	
490	CR	CDS	254272	255474	-	-	348733	-	
492	CR	CDS	255662	256972	+	-	346033	-	
494	CR	CDS	257080	257547	-	-	345925	-	
496	CR	CDS	257623	257997	-	-	345382	-	
498	CR	CDS	258296	260425	+	-	342580	-	
500	CR	CDS	260507	261451	+	-	341554	-	
502	CR	CDS	261572	263413	+	-	339592	-	
504	CR	CDS	263591	264979	+	-	338026	-	
506	CR	CDS	265270	265416	-	-	337735	-	
508	CR	CDS	265624	265833	-	-	337381	-	
510	CR	CDS	265901	266251	-	-	337104	-	
512	CR	ND	266330	267378	+	-	335627	-	
514	CR	CDS	267493	268470	-	+	335512	-	
516	CR	CDS	268478	270328	-	-	334527	-	
518	CR	CDS	270398	270691	-	-	332607	-	
520	CR	CDS	270799	271020	-	-	332206	-	
522	CR	CDS	271017	271535	-	-	331988	-	
524	CR	CDS	271600	272748	-	+	331405	-	
526	CR	CDS	273092	274183	-	-	329913	-	
528	CR	CDS	274307	274753	-	-	328698	-	
530	CR	ND	274892	279121	-	-	328113	-	
532	CR	CDS	279439	282270	-	-	323566	-	
534	CR	CDS	282424	282930	+	-	320075	-	
536	CR	CDS	283108	283920	-	-	319897	-	
538	CR	CDS	283930	284373	-	-	319075	-	
540	CR	CDS	284377	284829	-	-	318628	-	
542	CR	CDS	284998	285465	-	-	318007	-	
544	CR	CDS	285566	286462	+	+	316543	-	
546	CR	CDS	286573	287220	+	-	315785	-	
548	CR	CDS	287390	287713	+	-	315292	-	
550	CR	tRNA	288153	288242	-	-	314852	-	
552	CR	CDS	288442	289434	-	-	314563	-	
554	CR	CDS	289511	290098	-	-	313494	-	
556	CR	CDS	290110	290835	-	-	312895	-	
558	CR	CDS	290912	291955	+	-	311050	-	
560	CR	CDS	292279	294450	+	-	308555	-	
562	CR	CDS	294525	296222	+	-	306783	-	
564	CR	CDS	296234	298951	+	-	304054	-	
566	CR	CDS	299047	299403	-	-	303958	-	
568	CR	CDS	299486	300085	+	-	302920	-	
570	CR	CDS	300127	301830	+	-	301175	-	
572	CR	CDS	301840	302865	+	-	300140	-	
574	CR	CDS	302991	303836	+	-	299169	-	
576	CR	CDS	303876	304808	-	-	299129	-	
578	CR	CDS	304808	305674	-	-	298197	-	
580	CR	CDS	305753	306394	-	-	297252	-	
582	CR	CDS	306418	307134	-	-	296587	-	
584	CR	tRNA	307279	307354	-	-	295726	-	
586	CR	CDS	307435	308877	-	+	295570	-	
588	CR	tRNA	309048	309123	+	-	293882	-	
590	CR	tRNA	309167	309242	+	-	293763	-	
592	CR	tRNA	309301	309376	+	-	293629	-	
594	CR	tRNA	309429	309504	+	-	293501	-	
596	CR	CDS	309627	311282	+	-	291723	-	
598	CR	CDS	311302	312111	-	+	291703	-	
600	CR	CDS	312108	312593	-	-	290897	-	
602	CR	ND	312596	313259	-	-	290409	-	
604	CR	CDS	313495	314253	+	-	288752	-	
606	CR	CDS	314478	315794	-	-	288527	-	
608	CR	CDS	315850	316593	-	-	287155	-	
610	CR	CDS	316654	318360	-	+	286351	-	
612	CR	CDS	318376	319668	-	+	284629	-	
614	CR	CDS	319804	321018	+	-	281987	-	
616	CR	CDS	321135	322391	+	-	280614	-	
618	CR	CDS	322500	323867	-	-	280505	-	
620	CR	CDS	323902	325140	-	-	279103	-	
622	CR	CDS	325363	327531	-	-	277642	-	
624	CR	CDS	327506	327712	-	-	275499	-	
626	CR	CDS	327787	327993	-	-	275218	-	
628	CR	CDS	328070	328456	+	-	274549	-	
630	CR	CDS	328470	328787	-	-	274535	-	
632	CR	CDS	329034	330296	+	-	272709	-	
634	CR	CDS	330350	331042	-	-	272655	-	
636	CR	CDS	331039	332259	-	-	271966	-	
638	CR	CDS	332256	333650	-	-	270749	-	
640	CR	CDS	333647	334096	-	-	269358	-	
642	CR	CDS	334212	334766	+	-	268239	-	
644	CR	CDS	335399	336298	+	-	266707	-	
646	CR	CDS	336321	337850	+	-	265155	-	
648	CR	CDS	337900	338637	+	-	264368	-	
650	CR	CDS	338634	339194	+	-	263811	-	
652	CR	CDS	339194	339613	+	-	263392	-	
654	CR	CDS	339663	340571	-	+	263342	-	
656	CR	CDS	340637	341452	+	-	261553	-	
658	CR	CDS	341452	342618	+	-	260387	-	
660	CR	CDS	342649	343542	+	-	259463	-	
662	CR	CDS	343715	344002	+	-	259003	-	
664	CR	CDS	344054	345061	-	-	258951	-	
666	CR	CDS	345069	345683	-	-	257936	-	
668	CR	CDS	345746	346318	-	-	257259	-	
670	CR	CDS	346365	347105	-	-	256640	-	
672	CR	CDS	347265	347729	-	-	255740	-	
674	CR	CDS	347763	349529	-	-	255242	-	
676	CR	CDS	349748	350266	+	-	252739	-	
678	CR	CDS	350319	351044	+	-	251961	-	
680	CR	CDS	351138	351374	+	-	251631	-	
682	CR	CDS	351371	351775	+	-	251230	-	
684	CR	CDS	351842	352249	+	-	250756	-	
686	CR	CDS	352323	353012	+	-	249993	-	
688	CR	CDS	353326	354678	+	-	248327	-	
690	CR	CDS	354711	354974	+	-	248031	-	
692	CR	tRNA	355348	355437	-	-	247657	-	
694	CR	CDS	355648	356214	-	-	247357	-	
696	CR	CDS	356252	357268	+	-	245737	-	
698	CR	CDS	357367	358662	+	-	244343	-	
700	CR	CDS	358722	359126	+	-	243879	-	
702	CR	CDS	359129	359839	+	-	243166	-	
704	CR	CDS	359839	361155	+	-	241850	-	
706	CR	CDS	361233	363464	+	-	239541	-	
708	CR	CDS	363479	363835	+	+	239170	-	
710	CR	CDS	363918	364511	+	-	238494	-	
712	CR	CDS	364513	364851	+	+	238154	-	
714	CR	CDS	364851	365897	+	-	237108	-	
716	CR	CDS	365938	368130	-	-	237067	-	
718	CR	CDS	368213	368953	+	-	234052	-	
720	CR	CDS	369038	369382	+	-	233623	-	
722	CR	ND	369588	370117	+	-	232888	-	
724	CR	CDS	370110	370391	+	-	232614	-	
726	CR	ND	370452	372912	+	-	230093	-	
728	CR	CDS	372967	373806	+	+	229199	-	
730	CR	CDS	373806	374669	+	+	228336	-	
732	CR	CDS	374666	375118	+	-	227887	-	
734	CR	CDS	375133	375735	+	-	227270	-	
736	CR	CDS	375895	376539	-	-	227110	-	
738	CR	CDS	376624	377901	-	-	226381	-	
740	CR	CDS	378043	379059	-	-	224962	-	
742	CR	CDS	379232	379927	-	-	223773	-	
744	CR	CDS	380643	381365	+	-	221640	-	
746	CR	CDS	381362	382099	+	-	220906	-	
748	CR	CDS	382121	383065	+	-	219940	-	
750	CR	CDS	383075	383722	+	-	219283	-	
752	CR	CDS	383822	384637	-	-	219183	-	
754	CR	CDS	384630	385478	-	-	218375	-	
756	CR	CDS	385482	386402	-	-	217523	-	
758	CR	CDS	386402	387283	-	-	216603	-	
760	CR	CDS	387648	388526	-	-	215357	-	
762	CR	CDS	388752	389924	+	-	213081	-	
764	CR	CDS	390026	390565	+	-	212440	-	
766	CR	CDS	390637	391548	+	-	211457	-	
768	CR	CDS	391558	392664	+	-	210341	-	
770	CR	CDS	392674	393945	+	-	209060	-	
772	CR	CDS	393962	394576	+	-	208429	-	
774	CR	CDS	394627	394821	-	-	208378	-	
776	CR	CDS	394821	395162	-	-	208184	-	
778	CR	CDS	395202	397061	-	+	207803	-	
780	CR	CDS	397080	397766	-	-	205925	-	
782	CR	CDS	397817	398341	-	+	205188	-	
784	CR	CDS	398354	398677	-	-	204651	-	
786	CR	CDS	398734	399150	-	-	204271	-	
788	CR	CDS	399174	400388	-	-	203831	-	
790	CR	CDS	400455	400907	-	-	202550	-	
792	CR	CDS	400960	401685	-	-	202045	-	
794	CR	tRNA	401796	401871	-	-	201209	-	
796	CR	tRNA	401895	401970	-	-	201110	-	
798	CR	CDS	402127	402588	-	-	200878	-	
800	CR	CDS	402612	403895	-	+	200393	-	
802	CR	CDS	403937	405055	-	-	199068	-	
804	CR	CDS	405071	405490	-	-	197934	-	
806	CR	CDS	405562	406248	-	-	197443	-	
808	CR	CDS	406265	406675	-	-	196740	-	
810	CR	CDS	407000	408922	+	+	194083	-	
812	CR	CDS	408935	409645	+	-	193360	-	
814	CR	CDS	409670	410221	+	-	192784	-	
816	CR	CDS	410264	411952	+	-	191053	-	
818	CR	CDS	411952	413151	+	-	189854	-	
820	CR	CDS	413194	414204	-	-	189811	-	
822	CR	CDS	414231	414968	-	-	188774	-	
824	CR	CDS	415151	416242	-	-	187854	-	
826	CR	CDS	416291	416875	-	+	186714	-	
828	CR	CDS	417042	417350	+	-	185655	-	
830	CR	CDS	417353	418567	+	-	184438	-	
832	CR	CDS	418569	419888	+	-	183117	-	
834	CR	CDS	420086	420718	+	-	182287	-	
836	CR	CDS	420728	421552	+	-	181453	-	
838	CR	CDS	421650	421937	-	-	181355	-	
840	CR	CDS	422144	423523	+	-	179482	-	
842	CR	CDS	423567	424139	+	-	178866	-	
844	CR	CDS	424136	424807	+	-	178198	-	
846	CR	CDS	424804	426096	-	-	178201	-	
848	CR	CDS	426096	426962	-	-	176909	-	
850	CR	CDS	427035	427982	-	+	175970	-	
852	CR	CDS	428072	428857	-	-	174933	-	
854	CR	CDS	428857	429663	-	-	174148	-	
856	CR	CDS	429835	431262	+	-	171743	-	
858	CR	CDS	431377	432333	+	-	170672	-	
860	CR	CDS	432430	432705	-	-	170575	-	
862	CR	CDS	432796	433764	-	-	170209	-	
864	CR	CDS	434185	436992	+	+	166013	-	
866	CR	CDS	437224	437436	+	-	165569	-	
868	CR	CDS	437760	438557	+	-	164448	-	
870	CR	CDS	438550	439359	+	+	163646	-	
872	CR	CDS	439370	440050	+	+	162955	-	
874	CR	CDS	439995	441338	+	-	161667	-	
876	CR	CDS	441507	442889	+	-	160116	-	
878	CR	CDS	443031	443330	+	-	159675	-	
880	CR	ND	443273	443943	+	-	159062	-	
882	CR	CDS	444029	445348	-	-	158976	-	
884	CR	CDS	445394	446116	+	-	156889	-	
886	CR	CDS	446149	447204	-	-	156856	-	
888	CR	CDS	447351	448718	+	-	154287	-	
890	CR	CDS	448763	449488	-	-	154242	-	
892	CR	CDS	449613	451157	+	-	151848	-	
894	CR	CDS	451167	451700	+	-	151305	-	
896	CR	CDS	451754	453586	-	-	151251	-	
898	CR	CDS	453698	453970	-	-	149307	-	
900	CR	CDS	454110	454700	-	-	148895	-	
902	CR	CDS	454736	455530	-	-	148269	-	
904	CR	CDS	455597	456193	-	-	147408	-	
906	CR	CDS	456269	456958	-	-	146736	-	
908	CR	CDS	456967	458304	-	-	146038	-	
910	CR	CDS	458314	458727	-	+	144691	-	
912	CR	CDS	458724	459245	-	+	144281	-	
914	CR	CDS	459242	459748	-	+	143763	-	
916	CR	CDS	459749	460546	-	+	143256	-	
918	CR	CDS	460645	463239	+	-	139766	-	
920	CR	CDS	463327	464172	+	-	138833	-	
922	CR	CDS	464325	464654	+	-	138351	-	
924	CR	CDS	464716	465318	+	-	137687	-	
926	CR	CDS	465334	467289	+	-	135716	-	
928	CR	CDS	467398	467736	+	-	135269	-	
930	CR	tRNA	467760	467845	+	-	135160	-	
932	CR	CDS	468265	469935	-	-	134740	-	
934	CR	CDS	469937	470878	-	-	133068	-	
936	CR	CDS	470880	472379	-	-	132125	-	
938	CR	CDS	472451	472987	-	-	130554	-	
940	CR	CDS	473074	473349	-	-	129931	-	
942	CR	CDS	473358	473549	-	-	129647	-	
944	CR	CDS	473621	474919	-	-	129384	-	
946	CR	CDS	474970	475494	-	-	128035	-	
948	CR	CDS	475521	476303	-	-	127484	-	
950	CR	CDS	476358	477341	-	-	126647	-	
952	CR	CDS	477338	477997	-	+	125667	-	
954	CR	CDS	477987	479030	-	-	125018	-	
956	CR	CDS	479100	480041	-	-	123905	-	
958	CR	CDS	480112	480651	-	-	122893	-	
960	CR	CDS	480783	481574	+	+	121431	-	
962	CR	CDS	481624	482499	-	-	121381	-	
964	CR	CDS	482692	485103	+	-	117902	-	
966	CR	CDS	485219	486370	+	-	116635	-	
968	CR	CDS	486503	487162	+	+	115843	-	
970	CR	CDS	487192	488424	+	+	114581	-	
972	CR	CDS	488468	489310	-	-	114537	-	
974	CR	CDS	489320	490183	-	-	113685	-	
976	CR	CDS	490631	491542	+	+	111463	-	
978	CR	CDS	491635	492918	+	-	110087	-	
980	CR	CDS	492987	494090	+	+	108915	-	
982	CR	CDS	494202	495290	+	+	107715	-	
984	CR	CDS	495356	495955	+	-	107050	-	
986	CR	CDS	495991	496740	+	+	106265	-	
988	CR	CDS	496722	497498	+	-	105507	-	
990	CR	CDS	497498	498163	+	-	104842	-	
992	CR	CDS	498427	499629	+	+	103376	-	
994	CR	CDS	499815	500243	-	-	103190	-	
996	CR	CDS	500273	501646	-	-	102732	-	
998	CR	CDS	501663	502532	-	-	101342	-	
1000	CR	CDS	502548	504089	-	-	100457	-	
1002	CR	CDS	504102	504635	-	-	98903	-	
1004	CR	CDS	504648	505118	-	-	98357	-	
1006	CR	CDS	505168	505422	-	-	97837	-	
1008	CR	CDS	505478	506266	-	-	97527	-	
1010	CR	CDS	506303	506677	-	-	96702	-	
1012	CR	CDS	506803	507414	-	-	96202	-	
1014	CR	CDS	507554	507931	-	-	95451	-	
1016	CR	CDS	508047	508649	+	-	94356	-	
1018	CR	CDS	508649	509122	+	-	93883	-	
1020	CR	CDS	509452	509955	+	-	93050	-	
1022	CR	CDS	510454	510810	+	-	92195	-	
1024	CR	CDS	510901	511609	-	-	92104	-	
1026	CR	CDS	511828	512355	+	-	90650	-	
1028	CR	CDS	512366	513700	+	-	89305	-	
1030	CR	CDS	513770	514822	-	+	89235	-	
1032	CR	CDS	514963	516258	+	-	86747	-	
1034	CR	CDS	516703	517866	+	-	85139	-	
1036	CR	CDS	518034	518453	+	-	84552	-	
1038	CR	CDS	518467	519948	+	-	83057	-	
1040	CR	CDS	519961	520932	+	-	82073	-	
1042	CR	CDS	520952	521830	+	-	81175	-	
1044	CR	CDS	521928	522848	+	-	80157	-	
1046	CR	CDS	522876	523874	+	-	79131	-	
1048	CR	CDS	523980	524531	+	-	78474	-	
1050	CR	CDS	524671	525159	-	-	78334	-	
1052	CR	CDS	525211	526122	-	-	77794	-	
1054	CR	CDS	526184	526903	+	-	76102	-	
1056	CR	CDS	526956	527942	-	-	76049	-	
1058	CR	CDS	528159	528935	-	-	74846	-	
1060	CR	CDS	528932	530488	-	-	74073	-	
1062	CR	CDS	530561	534808	-	-	72444	-	
1064	CR	CDS	535050	539081	-	+	67955	-	
1066	CR	CDS	539465	540154	-	-	63540	-	
1068	CR	CDS	540159	540587	-	+	62846	-	
1070	CR	CDS	540760	541476	-	-	62245	-	
1072	CR	CDS	541560	542813	-	-	61445	-	
1074	CR	CDS	542912	543700	-	-	60093	-	
1076	CR	CDS	543709	545253	-	-	59296	-	
1078	CR	CDS	545466	546122	+	-	56883	-	
1080	CR	CDS	546078	547118	-	-	56927	-	
1082	CR	CDS	547186	548265	-	-	55819	-	
1084	CR	CDS	548376	549536	-	+	54629	-	
1086	CR	CDS	549638	550456	-	-	53367	-	
1088	CR	CDS	550534	550794	+	-	52211	-	
1090	CR	CDS	550936	552156	-	-	52069	-	
1092	CR	CDS	552193	552744	-	-	50812	-	
1094	CR	CDS	552783	553811	-	-	50222	-	
1096	CR	CDS	554043	554258	+	-	48747	-	
1098	CR	CDS	554392	556173	+	+	46832	-	
1100	CR	CDS	556243	558132	+	+	44873	-	
1102	CR	CDS	558436	559863	-	+	44569	-	
1104	CR	CDS	560041	560826	-	-	42964	-	
1106	CR	CDS	560901	561578	-	-	42104	-	
1108	CR	CDS	561681	562388	-	-	41324	-	
1110	CR	CDS	562373	562930	-	-	40632	-	
1112	CR	CDS	563058	564776	-	-	39947	-	
1114	CR	CDS	564788	565093	-	-	38217	-	
1116	CR	CDS	565169	565471	-	-	37836	-	
1118	CR	CDS	565634	565924	+	-	37081	-	
1120	CR	CDS	565947	567593	+	-	35412	-	
1122	CR	CDS	567767	568216	-	-	35238	-	
1124	CR	CDS	568233	568460	-	+	34772	-	
1126	CR	CDS	568473	568799	-	-	34532	-	
1128	CR	CDS	568786	569163	-	+	34219	-	
1130	CR	CDS	569362	569580	-	+	33643	-	
1132	CR	CDS	569786	570649	+	+	32356	-	
1134	CR	CDS	570690	571598	-	-	32315	-	
1136	CR	CDS	571717	572544	+	-	30461	-	
1138	CR	CDS	572554	573177	+	-	29828	-	
1140	CR	CDS	573303	574757	-	-	29702	-	
1142	CR	CDS	575203	575745	-	-	27802	-	
1144	CR	CDS	575870	576109	-	-	27135	-	
1146	CR	CDS	576109	576600	-	-	26896	-	
1148	CR	CDS	576891	578375	-	-	26114	-	
1150	CR	CDS	578451	579137	-	-	24554	-	
1152	CR	CDS	579332	579679	-	-	23673	-	
1154	CR	CDS	579736	581637	-	-	23269	-	
1156	CR	CDS	581951	582346	+	-	20659	-	
1158	CR	CDS	582372	582824	-	-	20633	-	
1160	CR	CDS	582978	583970	+	+	19035	-	
1162	CR	CDS	584035	584709	-	-	18970	-	
1164	CR	CDS	584755	585429	-	+	18250	-	
1166	CR	CDS	585576	587996	-	+	17429	-	
1168	CR	CDS	588147	590435	-	+	14858	-	
1170	CR	CDS	590531	591007	+	+	11998	-	
1172	CR	CDS	591078	591695	-	-	11927	-	
1174	CR	CDS	591695	592600	-	-	11310	-	
1176	CR	CDS	592723	593448	+	-	9557	-	
1178	CR	CDS	593536	593757	-	+	9469	-	
1180	CR	CDS	593855	594580	+	-	8425	-	
1182	CR	CDS	594669	595334	+	-	7671	-	
1184	CR	CDS	595334	595714	+	-	7291	-	
1186	CR	CDS	595711	596070	+	-	6935	-	
1188	CR	CDS	596079	596366	+	-	6639	-	
1190	CR	CDS	596497	597681	-	-	6508	-	
1192	CR	CDS	597746	599848	-	+	5259	-	
1194	CR	CDS	599932	600402	-	+	3073	-	
1196	CR	CDS	600559	600933	-	+	2446	-	
1198	CR	CDS	601115	603004	-	-	1890	-	
1200	CR	CDS	603690	605663	-	-	685	+	
1202	CR	CDS	605757	607028	-	-	2752	+	
1204	CR	CDS	607100	607939	-	-	4095	+	
1206	CR	CDS	607957	608394	-	-	4952	+	
1208	CR	CDS	608461	609117	-	-	5456	+	
1210	CR	CDS	609241	610476	+	-	5552	+	
1212	CR	CDS	610691	611110	+	-	7002	+	
1214	CR	CDS	611212	612519	-	-	8207	+	
1216	CR	CDS	612624	614786	-	-	9619	+	
1218	CR	CDS	615772	617301	-	-	12767	+	
1220	CR	CDS	617406	618338	-	-	14401	+	
1222	CR	CDS	618348	619352	-	-	15343	+	
1224	CR	CDS	619754	620572	+	-	16065	+	
1226	CR	CDS	620572	621054	+	-	16883	+	
1228	CR	CDS	620954	621412	-	+	17949	+	
1230	CR	CDS	621492	622556	-	-	18487	+	
1232	CR	CDS	622876	623529	+	-	19187	+	
1234	CR	rRNA	623821	625369	+	-	20132	+	
1236	CR	tRNA	625444	625520	+	-	21755	+	
1238	CR	tRNA	625606	625681	+	-	21917	+	
1240	CR	rRNA	626083	628985	+	-	22394	+	
1242	CR	rRNA	629226	629354	+	-	25537	+	
1244	CR	rRNA	629394	629512	+	-	25705	+	
1246	CR	tRNA	629523	629599	+	-	25834	+	
1248	CR	tRNA	629628	629703	+	-	25939	+	
1250	CR	ND	629864	630282	+	-	26175	+	
1252	CR	CDS	630346	631632	-	-	27341	+	
1254	CR	CDS	631643	632856	-	-	28638	+	
1256	CR	CDS	633161	635692	+	+	29472	+	
1258	CR	CDS	635766	636773	+	+	32077	+	
1260	CR	CDS	636785	637588	+	+	33096	+	
1262	CR	CDS	637598	638413	+	-	33909	+	
1264	CR	CDS	638552	639937	+	-	34863	+	
1266	CR	CDS	640075	640923	-	-	37070	+	
1268	CR	tRNA	641105	641181	+	-	37416	+	
1270	CR	tRNA	641229	641305	+	-	37540	+	
1272	CR	CDS	641451	642737	-	-	38446	+	
1274	CR	CDS	642776	643426	-	-	39771	+	
1276	CR	CDS	643446	643880	-	-	40441	+	
1278	CR	CDS	643894	645306	-	+	40889	+	
1280	CR	CDS	645379	647148	-	+	42374	+	
1282	CR	CDS	647375	648124	-	+	44370	+	
1284	CR	CDS	648322	651093	+	-	44633	+	
1286	CR	CDS	651096	651755	+	-	47407	+	
1288	CR	CDS	651782	652360	+	-	48093	+	
1290	CR	CDS	652390	653157	+	-	48701	+	
1292	CR	CDS	653459	654280	-	-	50454	+	
1294	CR	ND	654319	654961	-	-	51314	+	
1296	CR	CDS	654999	656036	-	-	51994	+	
1298	CR	CDS	656212	656766	+	-	52523	+	
1300	CR	rRNA	657103	658651	+	-	53414	+	
1302	CR	tRNA	658778	658853	+	-	55089	+	
1304	CR	rRNA	659120	662022	+	-	55431	+	
1306	CR	rRNA	662263	662391	+	-	58574	+	
1308	CR	CDS	662609	663118	+	-	58920	+	
1310	CR	CDS	663211	664167	+	-	59522	+	
1312	CR	CDS	664167	665522	+	-	60478	+	
1314	CR	CDS	665535	666911	+	-	61846	+	
1316	CR	CDS	666984	667370	+	-	63295	+	
1318	CR	CDS	667460	667717	+	-	63771	+	
1320	CR	CDS	667825	668394	+	-	64136	+	
1322	CR	CDS	668419	669006	+	-	64730	+	
1324	CR	CDS	669086	670033	+	-	65397	+	
1326	CR	CDS	670124	671059	-	+	67119	+	
1328	CR	tRNA	671274	671349	+	-	67585	+	
1330	CR	tRNA	671379	671463	+	-	67690	+	
1332	CR	tRNA	671506	671580	+	-	67817	+	
1334	CR	tRNA	671584	671659	+	-	67895	+	
1336	CR	CDS	671764	672948	+	-	68075	+	
1338	CR	CDS	673116	673493	+	-	69427	+	
1340	CR	CDS	673496	674479	+	-	69807	+	
1342	CR	CDS	674692	677850	-	-	71687	+	
1344	CR	CDS	678239	678529	-	-	75234	+	
1346	CR	CDS	678551	679555	-	-	75546	+	
1348	CR	CDS	679684	680301	+	-	75995	+	
1350	CR	CDS	680324	681694	+	-	76635	+	
1352	CR	CDS	681966	682457	+	-	78277	+	
1354	CR	CDS	682512	682883	+	-	78823	+	
1356	CR	CDS	683043	684413	+	-	79354	+	
1358	CR	tRNA	684859	684935	-	-	81854	+	
1360	CR	tRNA	684993	685069	-	-	81988	+	
1362	CR	tRNA	685090	685184	-	-	82085	+	
1364	CR	CDS	685466	687943	-	-	82461	+	
1366	CR	CDS	687976	689076	-	-	84971	+	
1368	CR	CDS	689231	690172	-	+	86226	+	
1370	CR	CDS	690227	691342	-	+	87222	+	
1372	CR	CDS	691501	692217	-	-	88496	+	
1374	CR	CDS	692495	693073	-	-	89490	+	
1376	CR	CDS	693363	695375	-	+	90358	+	
1378	CR	CDS	695381	695593	-	-	92376	+	
1380	CR	CDS	695590	696060	-	+	92585	+	
1382	CR	CDS	696057	697340	-	+	93052	+	
1384	CR	CDS	697403	698167	+	-	93714	+	
1386	CR	CDS	698164	698721	-	+	95159	+	
1388	CR	CDS	698718	699536	-	+	95713	+	
1390	CR	CDS	699540	700091	-	-	96535	+	
1392	CR	CDS	700107	700643	-	-	97102	+	
1394	CR	CDS	700653	702569	-	-	97648	+	
1396	CR	CDS	702730	703026	-	-	99725	+	
1398	CR	CDS	703019	703378	-	-	100014	+	
1400	CR	CDS	703648	706680	-	-	100643	+	
