orgName= Escherichia coli str. K-12 substr. MG1655

LOCUS= NC_000913, GenomeSeqLen= 4639675
4: egSP =8551, nSpacer =3, upstream =2
6: egSP =22389, nSpacer =-17, downstream =-8
7: egSP =23542, nSpacer =-17, upstream =-9
7: egSP =23542, nSpacer =-1, downstream =0
8: egSP =24468, nSpacer =-1, upstream =-1
8: egSP =24468, nSpacer =29, downstream =14
9: egSP =26036, nSpacer =29, upstream =15
9: egSP =26036, nSpacer =5, downstream =2
10: egSP =26479, nSpacer =5, upstream =3
12: egSP =31705, nSpacer =33, downstream =16
13: egSP =32359, nSpacer =33, upstream =17
14: egSP =39872, nSpacer =28, downstream =14
15: egSP =40542, nSpacer =28, upstream =14
15: egSP =40542, nSpacer =-11, downstream =-5
16: egSP =41776, nSpacer =-11, upstream =-6
19: egSP =49840, nSpacer =4, downstream =2
20: egSP =51524, nSpacer =4, upstream =2
20: egSP =51524, nSpacer =-17, downstream =-8
21: egSP =52365, nSpacer =-17, upstream =-9
23: egSP =56969, nSpacer =52, downstream =26
24: egSP =58362, nSpacer =52, upstream =26
25: egSP =61014, nSpacer =-1, downstream =0
26: egSP =61406, nSpacer =-1, upstream =-1
29: egSP =66227, nSpacer =-20, downstream =-10
30: egSP =67206, nSpacer =-20, upstream =-10
34: egSP =103104, nSpacer =-8, downstream =-4
35: egSP =104320, nSpacer =-8, upstream =-4
35: egSP =104320, nSpacer =1, downstream =0
36: egSP =105452, nSpacer =1, upstream =1
36: egSP =105452, nSpacer =-1, downstream =0
37: egSP =106660, nSpacer =-1, upstream =-1
38: egSP =109262, nSpacer =55, upstream =28
38: egSP =109262, nSpacer =-1, downstream =0
39: egSP =109675, nSpacer =-1, upstream =-1
39: egSP =109675, nSpacer =-1, downstream =0
40: egSP =110355, nSpacer =-1, upstream =-1
41: egSP =111790, nSpacer =-8, downstream =-4
42: egSP =112718, nSpacer =-8, upstream =-4
42: egSP =112718, nSpacer =28, downstream =14
43: egSP =113895, nSpacer =28, upstream =14
43: egSP =113895, nSpacer =16, downstream =8
44: egSP =114331, nSpacer =16, upstream =8
45: egSP =116926, nSpacer =0, downstream =0
46: egSP =117553, nSpacer =0, upstream =0
46: egSP =117553, nSpacer =-11, downstream =-5
47: egSP =118025, nSpacer =-11, upstream =-6
47: egSP =118025, nSpacer =2, downstream =1
48: egSP =118345, nSpacer =2, upstream =1
48: egSP =118345, nSpacer =-17, downstream =-8
49: egSP =118781, nSpacer =-17, upstream =-9
51: egSP =125853, nSpacer =-8, downstream =-4
52: egSP =127279, nSpacer =-8, upstream =-4
55: egSP =134147, nSpacer =40, downstream =20
56: egSP =134769, nSpacer =40, upstream =20
59: egSP =143936, nSpacer =14, downstream =7
60: egSP =144973, nSpacer =14, upstream =7
65: egSP =160963, nSpacer =-59, downstream =-29
66: egSP =162377, nSpacer =-59, upstream =-30
67: egSP =179151, nSpacer =-1, downstream =0
68: egSP =180746, nSpacer =-1, upstream =-1
68: egSP =180746, nSpacer =-14, downstream =-7
69: egSP =181005, nSpacer =-14, upstream =-7
70: egSP =190370, nSpacer =-1, downstream =0
71: egSP =191143, nSpacer =-1, upstream =-1
71: egSP =191143, nSpacer =3, downstream =1
72: egSP =191782, nSpacer =3, upstream =2
72: egSP =191782, nSpacer =-1, downstream =0
73: egSP =192102, nSpacer =-1, upstream =-1
73: egSP =192102, nSpacer =-1, downstream =0
74: egSP =192959, nSpacer =-1, upstream =-1
74: egSP =192959, nSpacer =2, downstream =1
75: egSP =193225, nSpacer =2, upstream =1
75: egSP =193225, nSpacer =2, downstream =1
76: egSP =193662, nSpacer =2, upstream =1
76: egSP =193662, nSpacer =5, downstream =2
77: egSP =194474, nSpacer =5, upstream =3
77: egSP =194474, nSpacer =-1, downstream =0
78: egSP =194890, nSpacer =-1, upstream =-1
78: egSP =194890, nSpacer =-1, downstream =0
79: egSP =195492, nSpacer =-1, upstream =-1
79: egSP =195492, nSpacer =3, downstream =1
80: egSP =195753, nSpacer =3, upstream =2
80: egSP =195753, nSpacer =-1, downstream =0
81: egSP =196121, nSpacer =-1, upstream =-1
81: egSP =196121, nSpacer =5, downstream =2
82: egSP =196453, nSpacer =5, upstream =3
82: egSP =196453, nSpacer =2, downstream =1
83: egSP =196998, nSpacer =2, upstream =1
83: egSP =196998, nSpacer =-7, downstream =-3
84: egSP =197177, nSpacer =-7, upstream =-4
84: egSP =197177, nSpacer =6, downstream =3
85: egSP =197609, nSpacer =6, upstream =3
85: egSP =197609, nSpacer =1, downstream =0
86: egSP =198165, nSpacer =1, upstream =1
86: egSP =198165, nSpacer =4, downstream =2
87: egSP =198517, nSpacer =4, upstream =2
87: egSP =198517, nSpacer =5, downstream =2
88: egSP =199158, nSpacer =5, upstream =3
88: egSP =199158, nSpacer =-1, downstream =0
89: egSP =199610, nSpacer =-1, upstream =-1
89: egSP =199610, nSpacer =-7, downstream =-3
90: egSP =201031, nSpacer =-7, upstream =-4
90: egSP =201031, nSpacer =2, downstream =1
91: egSP =201678, nSpacer =2, upstream =1
91: egSP =201678, nSpacer =-1, downstream =0
92: egSP =202424, nSpacer =-1, upstream =-1
92: egSP =202424, nSpacer =10, downstream =5
93: egSP =202647, nSpacer =10, upstream =5
93: egSP =202647, nSpacer =-1, downstream =0
94: egSP =202760, nSpacer =-1, upstream =-1
94: egSP =202760, nSpacer =-1, downstream =0
95: egSP =203134, nSpacer =-1, upstream =-1
95: egSP =203134, nSpacer =15, downstream =7
96: egSP =203515, nSpacer =15, upstream =8
96: egSP =203515, nSpacer =12, downstream =6
97: egSP =204514, nSpacer =12, upstream =6
97: egSP =204514, nSpacer =-14, downstream =-7
98: egSP =204872, nSpacer =-14, upstream =-7
98: egSP =204872, nSpacer =-16, downstream =-8
99: egSP =205681, nSpacer =-16, upstream =-8
100: egSP =220607, nSpacer =6, downstream =3
101: egSP =221570, nSpacer =6, upstream =3
101: egSP =221570, nSpacer =1, downstream =0
102: egSP =225906, nSpacer =1, upstream =1
103: egSP =232009, nSpacer =3, downstream =1
104: egSP =233038, nSpacer =3, upstream =2
105: egSP =235517, nSpacer =58, upstream =29
105: egSP =235517, nSpacer =2, downstream =1
106: egSP =236065, nSpacer =2, upstream =1
106: egSP =236065, nSpacer =2, downstream =1
107: egSP =236247, nSpacer =2, upstream =1
109: egSP =240323, nSpacer =-1, downstream =0
110: egSP =242224, nSpacer =-1, upstream =-1
110: egSP =242224, nSpacer =-4, downstream =-2
111: egSP =244566, nSpacer =-4, upstream =-2
111: egSP =244566, nSpacer =35, downstream =17
112: egSP =245633, nSpacer =35, upstream =18
115: egSP =254621, nSpacer =2, downstream =1
116: egSP =255595, nSpacer =2, upstream =1
117: egSP =259177, nSpacer =2, downstream =1
118: egSP =264597, nSpacer =2, upstream =1
121: egSP =274653, nSpacer =5, downstream =2
122: egSP =275141, nSpacer =5, upstream =3
122: egSP =275141, nSpacer =3, downstream =1
123: egSP =276167, nSpacer =3, upstream =2
123: egSP =276167, nSpacer =18, downstream =9
124: egSP =276647, nSpacer =18, upstream =9
125: egSP =278905, nSpacer =92, upstream =46
127: egSP =283396, nSpacer =-4, downstream =-2
128: egSP =285780, nSpacer =-4, upstream =-2
129: egSP =296113, nSpacer =44, downstream =22
130: egSP =297651, nSpacer =44, upstream =22
132: egSP =307637, nSpacer =-1, downstream =0
133: egSP =307930, nSpacer =-1, upstream =-1
138: egSP =331235, nSpacer =17, downstream =8
139: egSP =332233, nSpacer =17, upstream =9
139: egSP =332233, nSpacer =27, downstream =13
140: egSP =333337, nSpacer =27, upstream =14
144: egSP =357475, nSpacer =-1, downstream =0
145: egSP =357891, nSpacer =-1, upstream =-1
148: egSP =368733, nSpacer =17, downstream =8
149: egSP =369713, nSpacer =17, upstream =9
149: egSP =369713, nSpacer =1, downstream =0
150: egSP =370950, nSpacer =1, upstream =1
152: egSP =387276, nSpacer =22, downstream =11
153: egSP =387916, nSpacer =22, upstream =11
155: egSP =406975, nSpacer =-56, downstream =-28
156: egSP =407729, nSpacer =-56, upstream =-28
156: egSP =407729, nSpacer =-1, downstream =0
157: egSP =408793, nSpacer =-1, upstream =-1
159: egSP =416337, nSpacer =36, downstream =18
160: egSP =416967, nSpacer =36, upstream =18
161: egSP =420053, nSpacer =58, downstream =29
162: egSP =420333, nSpacer =58, upstream =29
166: egSP =448943, nSpacer =47, downstream =23
167: egSP =449665, nSpacer =47, upstream =24
169: egSP =459615, nSpacer =22, downstream =11
170: egSP =460126, nSpacer =22, upstream =11
170: egSP =460126, nSpacer =2, downstream =1
171: egSP =460497, nSpacer =2, upstream =1
176: egSP =475526, nSpacer =28, downstream =14
177: egSP =477168, nSpacer =28, upstream =14
181: egSP =494984, nSpacer =12, downstream =6
182: egSP =496628, nSpacer =12, upstream =6
184: egSP =502828, nSpacer =1, downstream =0
185: egSP =504260, nSpacer =1, upstream =1
185: egSP =504260, nSpacer =-1, downstream =0
186: egSP =505099, nSpacer =-1, upstream =-1
186: egSP =505099, nSpacer =15, downstream =7
187: egSP =506671, nSpacer =15, upstream =8
187: egSP =506671, nSpacer =-8, downstream =-4
188: egSP =507194, nSpacer =-8, upstream =-4
188: egSP =507194, nSpacer =2, downstream =1
189: egSP =507823, nSpacer =2, upstream =1
189: egSP =507823, nSpacer =2, downstream =1
190: egSP =508134, nSpacer =2, upstream =1
192: egSP =521470, nSpacer =5, downstream =2
193: egSP =521874, nSpacer =5, upstream =3
196: egSP =531669, nSpacer =22, downstream =11
197: egSP =533041, nSpacer =22, upstream =11
198: egSP =534319, nSpacer =3, downstream =1
199: egSP =536041, nSpacer =3, upstream =2
199: egSP =536041, nSpacer =-8, downstream =-4
200: egSP =537557, nSpacer =-8, upstream =-4
201: egSP =539633, nSpacer =-20, downstream =-10
202: egSP =540510, nSpacer =-20, upstream =-10
202: egSP =540510, nSpacer =-1, downstream =0
203: egSP =541241, nSpacer =-1, upstream =-1
204: egSP =548867, nSpacer =-17, downstream =-8
205: egSP =549210, nSpacer =-17, upstream =-9
205: egSP =549210, nSpacer =-1, downstream =0
206: egSP =549905, nSpacer =-1, upstream =-1
213: egSP =569528, nSpacer =-32, downstream =-16
214: egSP =569883, nSpacer =-32, upstream =-16
215: egSP =576351, nSpacer =62, downstream =31
216: egSP =577268, nSpacer =62, upstream =31
orgName= Escherichia coli str. K-12 substr. MG1655

LOCUS= NC_000913, GenomeSeqLen= 4639675
4: egSP =21407, nSpacer =42, downstream =21
5: egSP =22391, nSpacer =42, upstream =21
5: egSP =22391, nSpacer =-1, downstream =0
6: egSP =25207, nSpacer =-1, upstream =-1
12: egSP =90094, nSpacer =-4, downstream =-2
13: egSP =91032, nSpacer =-4, upstream =-2
13: egSP =91032, nSpacer =15, downstream =7
14: egSP =91413, nSpacer =15, upstream =8
14: egSP =91413, nSpacer =-14, downstream =-7
15: egSP =93166, nSpacer =-14, upstream =-7
15: egSP =93166, nSpacer =-4, downstream =-2
16: egSP =94650, nSpacer =-4, upstream =-2
16: egSP =94650, nSpacer =-7, downstream =-3
17: egSP =96002, nSpacer =-7, upstream =-4
17: egSP =96002, nSpacer =2, downstream =1
18: egSP =97087, nSpacer =2, upstream =1
18: egSP =97087, nSpacer =-1, downstream =0
19: egSP =98403, nSpacer =-1, upstream =-1
19: egSP =98403, nSpacer =-4, downstream =-2
20: egSP =99644, nSpacer =-4, upstream =-2
21: egSP =100765, nSpacer =53, upstream =27
21: egSP =100765, nSpacer =-8, downstream =-4
22: egSP =102233, nSpacer =-8, upstream =-4
22: egSP =102233, nSpacer =1, downstream =0
23: egSP =103155, nSpacer =1, upstream =1
23: egSP =103155, nSpacer =-4, downstream =-2
24: egSP =103982, nSpacer =-4, upstream =-2
25: egSP =105305, nSpacer =60, upstream =30
27: egSP =107705, nSpacer =61, downstream =30
28: egSP =108279, nSpacer =61, upstream =31
38: egSP =185123, nSpacer =30, downstream =15
39: egSP =185978, nSpacer =30, upstream =15
39: egSP =185978, nSpacer =61, downstream =30
40: egSP =188712, nSpacer =61, upstream =31
44: egSP =192872, nSpacer =91, downstream =45
45: egSP =193521, nSpacer =91, upstream =46
46: egSP =194903, nSpacer =12, downstream =6
47: egSP =195677, nSpacer =12, upstream =6
47: egSP =195677, nSpacer =11, downstream =5
48: egSP =196546, nSpacer =11, upstream =6
48: egSP =196546, nSpacer =29, downstream =14
49: egSP =197928, nSpacer =29, upstream =15
51: egSP =202101, nSpacer =3, downstream =1
52: egSP =202560, nSpacer =3, upstream =2
52: egSP =202560, nSpacer =-1, downstream =0
53: egSP =203348, nSpacer =-1, upstream =-1
53: egSP =203348, nSpacer =-4, downstream =-2
54: egSP =204493, nSpacer =-4, upstream =-2
54: egSP =204493, nSpacer =36, downstream =18
55: egSP =205126, nSpacer =36, upstream =18
55: egSP =205126, nSpacer =12, downstream =6
56: egSP =208621, nSpacer =12, upstream =6
60: egSP =235535, nSpacer =64, downstream =32
61: egSP =236067, nSpacer =64, upstream =32
64: egSP =284619, nSpacer =11, downstream =5
65: egSP =286013, nSpacer =11, upstream =6
77: egSP =426871, nSpacer =10, downstream =5
78: egSP =428729, nSpacer =10, upstream =5
79: egSP =432679, nSpacer =88, downstream =44
80: egSP =433871, nSpacer =88, upstream =44
80: egSP =433871, nSpacer =19, downstream =9
81: egSP =434361, nSpacer =19, upstream =10
82: egSP =434858, nSpacer =77, upstream =39
82: egSP =434858, nSpacer =-23, downstream =-11
83: egSP =435813, nSpacer =-23, upstream =-12
84: egSP =437539, nSpacer =24, downstream =12
85: egSP =439426, nSpacer =24, upstream =12
89: egSP =489509, nSpacer =69, downstream =34
90: egSP =490106, nSpacer =69, upstream =35
99: egSP =548850, nSpacer =-4, downstream =-2
100: egSP =549662, nSpacer =-4, upstream =-2
101: egSP =552441, nSpacer =2, downstream =1
102: egSP =553166, nSpacer =2, upstream =1
107: egSP =572307, nSpacer =-4, downstream =-2
108: egSP =572594, nSpacer =-4, upstream =-2
114: egSP =664424, nSpacer =2, downstream =1
115: egSP =665539, nSpacer =2, upstream =1
115: egSP =665539, nSpacer =30, downstream =15
116: egSP =667471, nSpacer =30, upstream =15
117: egSP =669154, nSpacer =1, downstream =0
118: egSP =669797, nSpacer =1, upstream =1
118: egSP =669797, nSpacer =-1, downstream =0
119: egSP =670828, nSpacer =-1, upstream =-1
119: egSP =670828, nSpacer =14, downstream =7
120: egSP =671424, nSpacer =14, upstream =7
121: egSP =683753, nSpacer =-1, downstream =0
122: egSP =684478, nSpacer =-1, upstream =-1
133: egSP =757929, nSpacer =14, downstream =7
134: egSP =760745, nSpacer =14, upstream =7
135: egSP =770681, nSpacer =15, downstream =7
136: egSP =772265, nSpacer =15, upstream =8
148: egSP =903816, nSpacer =-4, downstream =-2
149: egSP =904136, nSpacer =-4, upstream =-2
149: egSP =904136, nSpacer =-4, downstream =-2
150: egSP =904963, nSpacer =-4, upstream =-2
153: egSP =926697, nSpacer =0, downstream =0
154: egSP =928419, nSpacer =0, upstream =0
163: egSP =973542, nSpacer =-20, downstream =-10
164: egSP =974845, nSpacer =-20, upstream =-10
164: egSP =974845, nSpacer =-1, downstream =0
165: egSP =975549, nSpacer =-1, upstream =-1
172: egSP =1034289, nSpacer =-4, downstream =-2
173: egSP =1034993, nSpacer =-4, upstream =-2
179: egSP =1070996, nSpacer =11, downstream =5
180: egSP =1071394, nSpacer =11, upstream =6
182: egSP =1097109, nSpacer =54, downstream =27
183: egSP =1098102, nSpacer =54, upstream =27
190: egSP =1147982, nSpacer =15, downstream =7
191: egSP =1148951, nSpacer =15, upstream =8
191: egSP =1148951, nSpacer =12, downstream =6
192: egSP =1149893, nSpacer =12, upstream =6
194: egSP =1154347, nSpacer =-4, downstream =-2
195: egSP =1154985, nSpacer =-4, upstream =-2
197: egSP =1174650, nSpacer =-8, downstream =-4
198: egSP =1175842, nSpacer =-8, upstream =-4
198: egSP =1175842, nSpacer =-1, downstream =0
199: egSP =1176543, nSpacer =-1, upstream =-1
200: egSP =1181006, nSpacer =-4, downstream =-2
201: egSP =1182049, nSpacer =-4, upstream =-2
205: egSP =1200720, nSpacer =-63, downstream =-31
206: egSP =1200999, nSpacer =-63, upstream =-32
207: egSP =1201482, nSpacer =90, downstream =45
208: egSP =1202247, nSpacer =90, upstream =45
211: egSP =1223502, nSpacer =3, downstream =1
212: egSP =1223772, nSpacer =3, upstream =2
220: egSP =1261249, nSpacer =-1, downstream =0
221: egSP =1262100, nSpacer =-1, upstream =-1
222: egSP =1262937, nSpacer =41, downstream =20
223: egSP =1264235, nSpacer =41, upstream =21
223: egSP =1264235, nSpacer =-1, downstream =0
224: egSP =1265317, nSpacer =-1, upstream =-1
224: egSP =1265317, nSpacer =-4, downstream =-2
225: egSP =1266147, nSpacer =-4, upstream =-2
232: egSP =1301858, nSpacer =11, downstream =5
233: egSP =1302778, nSpacer =11, upstream =6
234: egSP =1309113, nSpacer =39, downstream =19
235: egSP =1309872, nSpacer =39, upstream =20
237: egSP =1324876, nSpacer =39, downstream =19
238: egSP =1325791, nSpacer =39, upstream =20
238: egSP =1325791, nSpacer =-4, downstream =-2
239: egSP =1326378, nSpacer =-4, upstream =-2
251: egSP =1418389, nSpacer =22, downstream =11
252: egSP =1418708, nSpacer =22, upstream =11
252: egSP =1418708, nSpacer =12, downstream =6
253: egSP =1419143, nSpacer =12, upstream =6
257: egSP =1461563, nSpacer =-19, downstream =-9
258: egSP =1462495, nSpacer =-19, upstream =-10
264: egSP =1510841, nSpacer =0, downstream =0
265: egSP =1511855, nSpacer =0, upstream =0
265: egSP =1511855, nSpacer =-11, downstream =-5
266: egSP =1512786, nSpacer =-11, upstream =-6
267: egSP =1515906, nSpacer =-4, downstream =-2
268: egSP =1516352, nSpacer =-4, upstream =-2
270: egSP =1532048, nSpacer =95, downstream =47
271: egSP =1532989, nSpacer =95, upstream =48
277: egSP =1638078, nSpacer =4, downstream =2
278: egSP =1638394, nSpacer =4, upstream =2
287: egSP =1680906, nSpacer =75, downstream =37
288: egSP =1682283, nSpacer =75, upstream =38
307: egSP =1793581, nSpacer =14, downstream =7
308: egSP =1795983, nSpacer =14, upstream =7
310: egSP =1798120, nSpacer =3, downstream =1
311: egSP =1798666, nSpacer =3, upstream =2
315: egSP =1821539, nSpacer =-41, downstream =-20
316: egSP =1822386, nSpacer =-41, upstream =-21
324: egSP =1873697, nSpacer =54, downstream =27
325: egSP =1874933, nSpacer =54, upstream =27
332: egSP =1944879, nSpacer =34, downstream =17
333: egSP =1945435, nSpacer =34, upstream =17
333: egSP =1945435, nSpacer =28, downstream =14
334: egSP =1946204, nSpacer =28, upstream =14
343: egSP =1981579, nSpacer =69, downstream =34
344: egSP =1983163, nSpacer =69, upstream =35
361: egSP =2188948, nSpacer =34, downstream =17
362: egSP =2189702, nSpacer =34, upstream =17
367: egSP =2253377, nSpacer =70, downstream =35
368: egSP =2254107, nSpacer =70, upstream =35
385: egSP =2429696, nSpacer =69, downstream =34
386: egSP =2431034, nSpacer =69, upstream =35
391: egSP =2526183, nSpacer =70, downstream =35
392: egSP =2528269, nSpacer =70, upstream =35
399: egSP =2589269, nSpacer =3, downstream =1
400: egSP =2589629, nSpacer =3, upstream =2
407: egSP =2654770, nSpacer =1, downstream =0
408: egSP =2655107, nSpacer =1, upstream =1
408: egSP =2655107, nSpacer =16, downstream =8
409: egSP =2656974, nSpacer =16, upstream =8
410: egSP =2657925, nSpacer =27, downstream =13
411: egSP =2658339, nSpacer =27, upstream =14
413: egSP =2668412, nSpacer =-1, downstream =0
414: egSP =2668930, nSpacer =-1, upstream =-1
418: egSP =2700503, nSpacer =-4, downstream =-2
419: egSP =2701405, nSpacer =-4, upstream =-2
427: egSP =2742205, nSpacer =41, downstream =20
428: egSP =2742594, nSpacer =41, upstream =21
428: egSP =2742594, nSpacer =30, downstream =15
429: egSP =2743392, nSpacer =30, upstream =15
429: egSP =2743392, nSpacer =18, downstream =9
430: egSP =2743959, nSpacer =18, upstream =9
432: egSP =2746796, nSpacer =54, downstream =27
433: egSP =2748137, nSpacer =54, upstream =27
435: egSP =2752030, nSpacer =-11, downstream =-5
436: egSP =2752310, nSpacer =-11, upstream =-6
440: egSP =2798745, nSpacer =-4, downstream =-2
441: egSP =2798987, nSpacer =-4, upstream =-2
448: egSP =2869323, nSpacer =-1, downstream =0
449: egSP =2869802, nSpacer =-1, upstream =-1
449: egSP =2869802, nSpacer =18, downstream =9
450: egSP =2870531, nSpacer =18, upstream =9
451: egSP =2904665, nSpacer =87, downstream =43
452: egSP =2906051, nSpacer =87, upstream =44
455: egSP =2962383, nSpacer =6, downstream =3
456: egSP =2963184, nSpacer =6, upstream =3
468: egSP =3090959, nSpacer =-1, downstream =0
469: egSP =3091522, nSpacer =-1, upstream =-1
486: egSP =3245795, nSpacer =3, downstream =1
487: egSP =3246461, nSpacer =3, upstream =2
489: egSP =3256307, nSpacer =71, downstream =35
490: egSP =3257743, nSpacer =71, upstream =36
494: egSP =3297494, nSpacer =50, downstream =25
495: egSP =3297988, nSpacer =50, upstream =25
495: egSP =3297988, nSpacer =-14, downstream =-7
496: egSP =3298277, nSpacer =-14, upstream =-7
500: egSP =3311364, nSpacer =24, downstream =12
501: egSP =3314061, nSpacer =24, upstream =12
501: egSP =3314061, nSpacer =27, downstream =13
502: egSP =3315576, nSpacer =27, upstream =14
505: egSP =3330884, nSpacer =20, downstream =10
506: egSP =3331162, nSpacer =20, upstream =10
510: egSP =3340858, nSpacer =-32, downstream =-16
511: egSP =3341402, nSpacer =-32, upstream =-16
511: egSP =3341402, nSpacer =6, downstream =3
512: egSP =3341966, nSpacer =6, upstream =3
512: egSP =3341966, nSpacer =47, downstream =23
513: egSP =3342739, nSpacer =47, upstream =24
517: egSP =3375837, nSpacer =15, downstream =7
518: egSP =3376245, nSpacer =15, upstream =8
519: egSP =3378765, nSpacer =89, downstream =44
520: egSP =3380222, nSpacer =89, upstream =45
523: egSP =3396409, nSpacer =-1, downstream =0
524: egSP =3396897, nSpacer =-1, upstream =-1
525: egSP =3398066, nSpacer =65, upstream =33
526: egSP =3403458, nSpacer =10, downstream =5
527: egSP =3403939, nSpacer =10, upstream =5
530: egSP =3431712, nSpacer =14, downstream =7
531: egSP =3432236, nSpacer =14, upstream =7
533: egSP =3437638, nSpacer =40, downstream =20
534: egSP =3438062, nSpacer =40, upstream =20
534: egSP =3438062, nSpacer =25, downstream =12
535: egSP =3439077, nSpacer =25, upstream =13
535: egSP =3439077, nSpacer =33, downstream =16
536: egSP =3439731, nSpacer =33, upstream =17
536: egSP =3439731, nSpacer =16, downstream =8
537: egSP =3440137, nSpacer =16, upstream =8
538: egSP =3440788, nSpacer =7, downstream =3
539: egSP =3442127, nSpacer =7, upstream =4
539: egSP =3442127, nSpacer =3, downstream =1
540: egSP =3442565, nSpacer =3, upstream =2
540: egSP =3442565, nSpacer =3, downstream =1
541: egSP =3442748, nSpacer =3, upstream =2
541: egSP =3442748, nSpacer =14, downstream =7
542: egSP =3443266, nSpacer =14, upstream =7
542: egSP =3443266, nSpacer =9, downstream =4
543: egSP =3443629, nSpacer =9, upstream =5
543: egSP =3443629, nSpacer =12, downstream =6
544: egSP =3444175, nSpacer =12, upstream =6
544: egSP =3444175, nSpacer =33, downstream =16
545: egSP =3444601, nSpacer =33, upstream =17
545: egSP =3444601, nSpacer =14, downstream =7
546: egSP =3444921, nSpacer =14, upstream =7
546: egSP =3444921, nSpacer =14, downstream =7
547: egSP =3445475, nSpacer =14, upstream =7
547: egSP =3445475, nSpacer =10, downstream =5
548: egSP =3445800, nSpacer =10, upstream =5
549: egSP =3446336, nSpacer =-1, downstream =0
550: egSP =3446590, nSpacer =-1, upstream =-1
550: egSP =3446590, nSpacer =-1, downstream =0
551: egSP =3446781, nSpacer =-1, upstream =-1
551: egSP =3446781, nSpacer =12, downstream =6
552: egSP =3447204, nSpacer =12, upstream =6
552: egSP =3447204, nSpacer =17, downstream =8
553: egSP =3447923, nSpacer =17, upstream =9
553: egSP =3447923, nSpacer =14, downstream =7
554: egSP =3448270, nSpacer =14, upstream =7
554: egSP =3448270, nSpacer =16, downstream =8
555: egSP =3448565, nSpacer =16, upstream =8
555: egSP =3448565, nSpacer =17, downstream =8
556: egSP =3449404, nSpacer =17, upstream =9
556: egSP =3449404, nSpacer =-4, downstream =-2
557: egSP =3449703, nSpacer =-4, upstream =-2
557: egSP =3449703, nSpacer =10, downstream =5
558: egSP =3450319, nSpacer =10, upstream =5
558: egSP =3450319, nSpacer =32, downstream =16
559: egSP =3450981, nSpacer =32, upstream =16
560: egSP =3468167, nSpacer =70, downstream =35
561: egSP =3469422, nSpacer =70, upstream =35
561: egSP =3469422, nSpacer =27, downstream =13
562: egSP =3471564, nSpacer =27, upstream =14
563: egSP =3472200, nSpacer =96, upstream =48
564: egSP =3472700, nSpacer =7, downstream =3
565: egSP =3472995, nSpacer =7, upstream =4
565: egSP =3472995, nSpacer =-1, downstream =0
566: egSP =3473354, nSpacer =-1, upstream =-1
576: egSP =3599051, nSpacer =-8, downstream =-4
577: egSP =3600102, nSpacer =-8, upstream =-4
577: egSP =3600102, nSpacer =2, downstream =1
578: egSP =3600773, nSpacer =2, upstream =1
579: egSP =3602416, nSpacer =-11, downstream =-5
580: egSP =3603002, nSpacer =-11, upstream =-6
580: egSP =3603002, nSpacer =2, downstream =1
581: egSP =3603274, nSpacer =2, upstream =1
586: egSP =3720351, nSpacer =9, downstream =4
587: egSP =3722430, nSpacer =9, upstream =5
590: egSP =3779764, nSpacer =79, downstream =39
591: egSP =3780665, nSpacer =79, upstream =40
591: egSP =3780665, nSpacer =-1, downstream =0
592: egSP =3781684, nSpacer =-1, upstream =-1
595: egSP =3806563, nSpacer =7, downstream =3
596: egSP =3807848, nSpacer =7, upstream =4
602: egSP =3879244, nSpacer =4, downstream =2
603: egSP =3880349, nSpacer =4, upstream =2
604: egSP =3882359, nSpacer =16, downstream =8
605: egSP =3882516, nSpacer =16, upstream =8
616: egSP =3987111, nSpacer =-4, downstream =-2
617: egSP =3987848, nSpacer =-4, upstream =-2
621: egSP =4016878, nSpacer =13, downstream =6
622: egSP =4017647, nSpacer =13, upstream =7
622: egSP =4017647, nSpacer =-4, downstream =-2
623: egSP =4018249, nSpacer =-4, upstream =-2
636: egSP =4175381, nSpacer =1, downstream =0
637: egSP =4175766, nSpacer =1, upstream =1
638: egSP =4178019, nSpacer =66, downstream =33
639: egSP =4178583, nSpacer =66, upstream =33
640: egSP =4179268, nSpacer =76, downstream =38
641: egSP =4183373, nSpacer =76, upstream =38
649: egSP =4258344, nSpacer =23, downstream =11
650: egSP =4258622, nSpacer =23, upstream =12
657: egSP =4368711, nSpacer =43, downstream =21
658: egSP =4369048, nSpacer =43, upstream =22
665: egSP =4397275, nSpacer =85, downstream =42
666: egSP =4398311, nSpacer =85, upstream =43
667: egSP =4423141, nSpacer =6, downstream =3
668: egSP =4423543, nSpacer =6, upstream =3
668: egSP =4423543, nSpacer =4, downstream =2
669: egSP =4423862, nSpacer =4, upstream =2
676: egSP =4479005, nSpacer =-1, downstream =0
677: egSP =4481860, nSpacer =-1, upstream =-1
678: egSP =4484241, nSpacer =-1, downstream =0
679: egSP =4485341, nSpacer =-1, upstream =-1
682: egSP =4598261, nSpacer =2, downstream =1
683: egSP =4599001, nSpacer =2, upstream =1
orgName= Helicobacter pylori 26695

LOCUS= NC_000915, GenomeSeqLen= 1667867
4: egSP =135142, nSpacer =-4, downstream =-2
5: egSP =136977, nSpacer =-4, upstream =-2
5: egSP =136977, nSpacer =-20, downstream =-10
6: egSP =137569, nSpacer =-20, upstream =-10
7: egSP =137857, nSpacer =93, upstream =47
23: egSP =620560, nSpacer =1, downstream =0
24: egSP =621689, nSpacer =1, upstream =1
24: egSP =621689, nSpacer =-1, downstream =0
